      Times Sizes
350   0.581     2
351   3.955    35
352   1.274    11
353   1.076     9
354   6.444    41
355   1.019     7
356   0.569     2
357   0.939     7
358   6.323    37
359   1.640    15
360   8.895    42
361   0.804     5
362   1.799    17
363   9.146    41
364   0.676     3
365   2.237    21
366   0.909     5
367   1.125     9
368   1.976    18
369   4.429    38
370   2.264    18
371   3.367    28
372  14.343    62
373   8.020    46
374   1.791    19
375   0.662     3
376   1.273    11
377   0.869     6
378  33.645    50
379   0.974     7
380  14.351    63
381   1.046     8
382   3.221    31
383   1.357    12
384  11.004    46
385   8.330    42
386   0.619     2
387   4.610    40
388   9.152    45
389  19.202    68
390   2.974    28
391  19.890    72
392   2.617    26
393   9.362    46
394   1.038     8
395  57.079   109
396   4.624    33
397  11.655    48
398   2.345    23
399   1.065     9
400   2.696    28
401  37.377    53
402   4.479    35
403   2.163    20
404   1.172    10
405   2.462    23
406   0.879     6
407   9.869    53
408  34.434    68
409 133.913   159
410   1.360    12
411  99.127   138
412   0.701     3
413   3.085    27
414   2.663    26
415   2.565    25
416   3.588    32
417 151.251   169
418   0.867     4
419   1.605    13
420  38.385    71
421   8.213    47
422 146.262   118
423 161.838   172
424   0.820     4
425  18.417    85
426   8.899    52
427   3.329    31
428  12.138    52
429   2.402    20
430   4.228    37
431   3.704    33
432  25.882    74
433   1.586    12
434 194.438   185
435 140.968   161
436   0.663     4
437  11.719    55
438   2.034    21
439   8.548    51
440   3.059    31
441   2.552    22
442   2.987    29
443   2.468    23
444  24.391    75
445   3.791    36
446   3.193    30
447  11.832    55
448   1.169    11
449  36.226   106
450   4.812    44
451 146.585   162
452  26.716    82
453   1.234    10
454   0.955     7
455   0.781     4
456 163.591   124
457   3.465    34
458 153.298   163
459  20.502    90
460   1.547    15
461   1.691    16
462   0.949     8
463  20.906    94
464 207.030   220
465  28.266    76
466   4.546    38
467   1.387    13
468  45.462   113
469   3.292    33
470   0.963     8
471  22.611   100
472   2.842    27
473   4.672    38
474   1.848    19
475   1.527    15
476   8.682    50
477   4.479    39
478   1.834    18
479  96.852   140
480   3.794    37
481   3.499    34
482  24.793   104
483 192.808   162
484   5.656    40
485   1.693    17
486  19.286    78
487   1.037     9
488   4.793    41
489   3.285    33
490   1.472    15
491  68.123   144
492   0.614     3
493   5.123    43
494   4.727    39
495   5.932    47
496   5.773    44
497   0.883     6
498 124.203   243
499   3.598    36
500   2.678    25
